"Country","Annees","Deces","Malades"
"Sierra Leone","2000","",""
"Sierra Leone","2001","328","2206"
"Sierra Leone","2002","461","3702"
"Sierra Leone","2003","157","3945"
"Sierra Leone","2004","126","2206"
"Sierra Leone","2005","50","4808"
"Sierra Leone","2006","90","4932"
"Sierra Leone","2007","324",""
"Sierra Leone","2008","871","154459"
"Sierra Leone","2009","1734","646808"
"Sierra Leone","2010","8188","934028"
"Sierra Leone","2011","3573","638859"
"Sierra Leone","2012","3611","1537322"
"Sierra Leone","2013","4326","1701958"
"Sierra Leone","2014","2848","1374476"
"Sierra Leone","2015","1107","1483376"
"Sierra Leone","2016","1348","1775306"
"Sierra Leone","2017","1298","1651236"